iso3,country,scenario,year,gdp_pc,population,urbanization,education_years,gini,corruption,poverty_3usd,poverty_4_2usd,poverty_8_3usd
AGO,Angola,SSP1,2030,27281.825927119073,197324352.48715732,74.9196365086843,10.361584841970366,28.430559213273096,-0.5880109593275947,12.035625,16.680562499999997,25.2
AGO,Angola,SSP1,2050,34398.82399506318,211588763.5103253,76.9196365086843,11.111584841970366,25.930559213273096,-0.38801095932759466,8.596874999999999,12.451687499999998,19.599999999999998
AGO,Angola,SSP1,2100,52191.31916492346,247249791.0682453,81.9196365086843,12.986584841970366,19.680559213273096,0.11198904067240534,0.0,1.8794999999999995,5.599999999999999
AGO,Angola,SSP2,2030,27281.825927119073,197324352.48715732,74.9196365086843,10.361584841970366,29.055559213273096,-0.6380109593275947,18.913124999999997,26.212312500000003,39.6
AGO,Angola,SSP2,2050,34398.82399506318,211588763.5103253,76.9196365086843,11.111584841970366,27.805559213273096,-0.5380109593275947,13.509374999999999,19.5669375,30.799999999999997
AGO,Angola,SSP2,2100,52191.31916492346,247249791.0682453,81.9196365086843,12.986584841970366,24.680559213273096,-0.2880109593275947,0.0,2.9534999999999996,8.799999999999997
AGO,Angola,SSP3,2030,25206.034823968712,204456557.9987413,74.4196365086843,10.111584841970366,30.305559213273096,-0.7630109593275947,29.229374999999994,40.5099375,61.2
AGO,Angola,SSP3,2050,28171.45068561209,232985380.04507732,75.4196365086843,10.361584841970366,31.555559213273096,-0.9130109593275947,20.878124999999997,30.2398125,47.599999999999994
AGO,Angola,SSP3,2100,35584.990339720534,304307435.1609173,77.9196365086843,10.986584841970366,34.6805592132731,-1.2880109593275946,0.0,4.564499999999999,13.599999999999998
AGO,Angola,SSP5,2030,27281.825927119073,197324352.48715732,74.9196365086843,10.361584841970366,29.430559213273096,-0.6630109593275947,15.474374999999998,21.446437500000002,32.4
AGO,Angola,SSP5,2050,34398.82399506318,211588763.5103253,76.9196365086843,11.111584841970366,28.930559213273096,-0.6130109593275948,11.053125,16.0093125,25.2
AGO,Angola,SSP5,2100,52191.31916492346,247249791.0682453,81.9196365086843,12.986584841970366,27.680559213273096,-0.4880109593275947,0.0,2.4164999999999996,7.199999999999998
ALB,Albania,SSP1,2030,6174.176931618903,179870392.4970576,67.06690070459253,11.455725777960454,24.367534828874074,1.0398197043239887,0.091875,0.6523125,6.2684999999999995
ALB,Albania,SSP1,2050,7784.831783345574,192873071.4727485,69.06690070459253,12.205725777960454,21.867534828874074,1.2398197043239887,0.065625,0.48693749999999997,4.875499999999999
ALB,Albania,SSP1,2100,11811.46891266225,225379768.91197574,74.06690070459253,14.080725777960454,15.617534828874074,1.7398197043239887,0.0,0.07349999999999998,1.3929999999999996
ALB,Albania,SSP2,2030,6174.176931618903,179870392.4970576,67.06690070459253,11.455725777960454,24.992534828874074,0.9898197043239887,0.144375,1.0250625000000002,9.8505
ALB,Albania,SSP2,2050,7784.831783345574,192873071.4727485,69.06690070459253,12.205725777960454,23.742534828874074,1.0898197043239888,0.10312500000000001,0.7651875000000001,7.661499999999999
ALB,Albania,SSP2,2100,11811.46891266225,225379768.91197574,74.06690070459253,14.080725777960454,20.617534828874074,1.3398197043239888,0.0,0.1155,2.1889999999999996
ALB,Albania,SSP3,2030,5704.402599865291,186371731.984903,66.56690070459253,11.205725777960454,26.242534828874074,0.8648197043239887,0.22312500000000002,1.5841874999999999,15.2235
ALB,Albania,SSP3,2050,6375.508788084738,212377089.93628484,67.56690070459253,11.455725777960454,27.492534828874074,0.7148197043239887,0.159375,1.1825625,11.840499999999999
ALB,Albania,SSP3,2100,8053.2742586333525,277390484.8147394,70.06690070459253,12.080725777960454,30.617534828874074,0.33981970432398867,0.0,0.17849999999999996,3.382999999999999
ALB,Albania,SSP5,2030,6174.176931618903,179870392.4970576,67.06690070459253,11.455725777960454,25.367534828874074,0.9648197043239887,0.11812500000000001,0.8386875,8.0595
ALB,Albania,SSP5,2050,7784.831783345574,192873071.4727485,69.06690070459253,12.205725777960454,24.867534828874074,1.0148197043239886,0.084375,0.6260625,6.2684999999999995
ALB,Albania,SSP5,2100,11811.46891266225,225379768.91197574,74.06690070459253,14.080725777960454,23.617534828874074,1.1398197043239886,0.0,0.09449999999999999,1.7909999999999997
ARE,United Arab Emirates,SSP1,2030,57823.924141388125,44877563.63841359,41.909498032426036,6.209045098534338,32.87726728878613,0.1495128632644757,0.0,0.0,0.189
ARE,United Arab Emirates,SSP1,2050,72908.42609131546,48121724.865286864,43.909498032426036,6.959045098534338,30.37726728878613,0.3495128632644757,0.0,0.0,0.147
ARE,United Arab Emirates,SSP1,2100,110619.68096613382,56232127.93247004,48.909498032426036,8.834045098534338,24.12726728878613,0.8495128632644757,0.0,0.0,0.04199999999999999
ARE,United Arab Emirates,SSP2,2030,57823.924141388125,44877563.63841359,41.909498032426036,6.209045098534338,33.50226728878613,0.09951286326447568,0.0,0.0,0.29700000000000004
ARE,United Arab Emirates,SSP2,2050,72908.42609131546,48121724.865286864,43.909498032426036,6.959045098534338,32.25226728878613,0.1995128632644757,0.0,0.0,0.23099999999999998
ARE,United Arab Emirates,SSP2,2100,110619.68096613382,56232127.93247004,48.909498032426036,8.834045098534338,29.12726728878613,0.4495128632644757,0.0,0.0,0.06599999999999999
ARE,United Arab Emirates,SSP3,2030,53424.27773932599,46499644.251850225,41.409498032426036,5.959045098534338,34.75226728878613,-0.025487136735524316,0.0,0.0,0.459
ARE,United Arab Emirates,SSP3,2050,59709.486885129045,52987966.705596775,42.409498032426036,6.209045098534338,36.00226728878613,-0.1754871367355243,0.0,0.0,0.357
ARE,United Arab Emirates,SSP3,2100,75422.5097496367,69208772.83996312,44.909498032426036,6.834045098534338,39.12726728878613,-0.5504871367355243,0.0,0.0,0.10199999999999998
ARE,United Arab Emirates,SSP5,2030,57823.924141388125,44877563.63841359,41.909498032426036,6.209045098534338,33.87726728878613,0.07451286326447568,0.0,0.0,0.24300000000000002
ARE,United Arab Emirates,SSP5,2050,72908.42609131546,48121724.865286864,43.909498032426036,6.959045098534338,33.37726728878613,0.12451286326447569,0.0,0.0,0.189
ARE,United Arab Emirates,SSP5,2100,110619.68096613382,56232127.93247004,48.909498032426036,8.834045098534338,32.12726728878613,0.2495128632644757,0.0,0.0,0.05399999999999999
ARG,Argentina,SSP1,2030,31110.73274342912,61165396.35813824,67.71117368334276,5.769938606520419,32.51433945605655,-0.1672763134126166,0.30624999999999997,0.8697499999999998,4.787999999999999
ARG,Argentina,SSP1,2050,39226.576067801936,65586991.27559401,69.71117368334276,6.519938606520419,30.014339456056547,0.03272368658738345,0.21875,0.6492499999999999,3.7239999999999993
ARG,Argentina,SSP1,2100,59516.184378733975,76640978.56923345,74.71117368334276,8.39493860652042,23.764339456056547,0.5327236865873834,0.0,0.09799999999999996,1.0639999999999996
ARG,Argentina,SSP2,2030,31110.73274342912,61165396.35813824,67.71117368334276,5.769938606520419,33.13933945605655,-0.2172763134126166,0.48125000000000007,1.36675,7.524
ARG,Argentina,SSP2,2050,39226.576067801936,65586991.27559401,69.71117368334276,6.519938606520419,31.889339456056547,-0.11727631341261657,0.34375,1.0202499999999999,5.851999999999999
ARG,Argentina,SSP2,2100,59516.184378733975,76640978.56923345,74.71117368334276,8.39493860652042,28.764339456056547,0.13272368658738343,0.0,0.15399999999999997,1.6719999999999995
ARG,Argentina,SSP3,2030,28743.611773820383,63376193.816866115,67.21117368334276,5.519938606520419,34.38933945605655,-0.3422763134126166,0.74375,2.11225,11.628
ARG,Argentina,SSP3,2050,32125.213158975723,72219383.65177768,68.21117368334276,5.769938606520419,35.63933945605655,-0.4922763134126166,0.53125,1.5767499999999999,9.043999999999999
ARG,Argentina,SSP3,2100,40579.21662186407,94327358.23905656,70.71117368334276,6.394938606520419,38.76433945605655,-0.8672763134126166,0.0,0.23799999999999993,2.5839999999999996
ARG,Argentina,SSP5,2030,31110.73274342912,61165396.35813824,67.71117368334276,5.769938606520419,33.51433945605655,-0.2422763134126166,0.39375,1.11825,6.156
ARG,Argentina,SSP5,2050,39226.576067801936,65586991.27559401,69.71117368334276,6.519938606520419,33.01433945605655,-0.19227631341261658,0.28125,0.83475,4.787999999999999
ARG,Argentina,SSP5,2100,59516.184378733975,76640978.56923345,74.71117368334276,8.39493860652042,31.764339456056547,-0.06727631341261658,0.0,0.12599999999999997,1.3679999999999997
